timestamp,run_id,tracker_start_x,tracker_start_y,tracker_start_yaw_deg,tracker_final_x,tracker_final_y,tracker_final_yaw_deg,odom_start_x,odom_start_y,odom_start_yaw_deg,odom_final_x,odom_final_y,odom_final_yaw_deg,notes
2026-04-27T15:51:23.156943,run_real_06,0.785304,0.622324,-92.760744,0.748066,0.406778,-109.024381,-1.418744434337153,0.14931008117418446,166.44066246959935,-1.6147131425653485,0.16684289815657577,-176.65855352358105,real
2026-04-27T15:53:06.075552,run_real_07,0.78593,0.629102,-91.156996,0.753237,0.408752,-108.28015,-1.615458583199859,0.16697484063460263,165.62344399578566,-1.8139609579447662,0.18763022153496042,-177.4067597660209,real
2026-04-27T15:53:35.576633,run_real_08,0.785114,0.622284,-91.974569,0.750326,0.403436,-109.03199,-1.8146646996216584,0.18766875416878404,166.86035027333995,-2.012882397304637,0.20398153428013643,-175.92590645207045,real
2026-04-27T15:54:07.068081,run_real_09,0.788007,0.624529,-90.408482,0.753327,0.404281,-108.283674,-2.013333936107547,0.20399321446163418,166.91362574886602,-2.2115047679585254,0.22076220646492953,-176.14022412784712,real
2026-04-27T15:54:37.243557,run_real_10,0.786007,0.623399,-91.190279,0.751433,0.404174,-108.011621,-2.2116812821667873,0.22076543862704434,167.66545199156604,-2.4105369981306928,0.23334909839975715,-174.87633860307128,real
2026-04-30T13:37:34.830342,run_real_12,0.238345,0.15464,-89.317161,0.240348,0.055271,-88.784447,0.09967169106663228,-1.9344322904353104e-05,6.187038414042384,0.20012429046717933,0.010860551045917956,6.386283142981296,real
2026-04-30T13:38:15.132632,run_real_13,0.241288,0.139648,-88.005437,0.245964,0.041049,-86.708152,0.200803133601496,0.010939655937710596,5.118635037746425,0.3012794026349182,0.019762160365214287,4.948266214184211,real
2026-04-30T13:39:30.621265,run_real_14,0.247196,0.129337,-89.354119,0.249406,0.031135,-88.565062,0.30218810579799005,0.019832786764475994,8.370593115747985,0.40070631595370276,0.03428185388788193,8.538328047611511,real
2026-04-30T15:44:35.675027,run_real_015,0.481848,0.183429,0.592833,0.58148,0.18255,-0.369997,0.0,9.27120900273605e-310,0.281717982506346,0.10106469002655981,0.0003840417499494919,0.16050944549529964,real
2026-04-30T15:54:42.369827,run_real_016,0.498272,0.053252,179.183743,,,,0.10130255941126365,0.0002715845559438546,-178.42162023612377,0.0025589557826256374,-0.002669933894977026,-178.18774943630066,real
2026-04-30T16:08:00.575947,run_real_017,0.506788,0.05095,179.195627,0.206335,0.056663,179.187704,0.0017749261053345415,-0.0026966542804726843,-177.51917466184668,-0.29875162918068193,-0.015897997269835457,-177.21454139467494,real
2026-04-30T16:09:27.145026,run_real_018,0.5017,0.053503,-179.219437,0.19972,0.052475,-179.694313,-0.29976241970101747,-0.01594406361301241,-177.6355645003983,-0.6020235291033176,-0.029456999021697683,-177.14381478581944,real
2026-04-30T16:10:16.150905,run_real_019,0.501256,0.046963,-179.183388,0.199946,0.04361,-179.114389,-0.6027573717920336,-0.029470648592939484,-177.82609433484308,-0.9055709756953599,-0.041290812045604565,-177.9876470917341,real
2026-04-30T16:10:47.303261,run_real_020,0.501313,0.045507,-179.175355,0.201468,0.042731,-179.652635,-0.9059249377045953,-0.04128079306097966,-177.55947790059165,-1.2061123171492738,-0.055264624232502536,-176.99677788846202,real
2026-04-30T16:11:37.972492,run_real_021,0.489062,0.053575,-179.743531,0.187078,0.051903,-179.691608,-1.2070731378883792,-0.05530203770867705,-176.45500557594931,-1.5098016656809912,-0.07386487352700741,-176.3741071078724,real
2026-04-30T16:12:15.664780,run_real_022,0.499929,0.046047,179.760252,0.197626,0.047908,179.782204,-1.5106863404695239,-0.07390083296851545,-175.80093641574513,-1.8126336216292456,-0.09780300252017368,-175.4038240947587,real
2026-04-30T16:12:48.232062,run_real_023,0.500546,0.048222,179.74834,0.198336,0.05004,179.223358,-1.8131390218857315,-0.09782221769195289,-175.1931434947151,-2.114855408793495,-0.12419216224523433,-174.74008509423706,real
2026-04-30T16:13:26.686012,run_real_024,0.499014,0.050028,-178.686355,0.197654,0.045888,-179.126793,-2.1151081543148336,-0.12419989158881505,-175.62171908211317,-2.4174171343960373,-0.1460088515053145,-175.61266225127372,real
2026-04-30T16:14:11.057301,run_real_025,0.500363,0.051463,-178.694127,0.198338,0.048107,-179.122981,-2.418073919925396,-0.14604710089665734,-175.2566881596583,-2.72011063949008,-0.17010562596640844,-175.4038018966439,real
2026-04-30T16:14:46.178356,run_real_026,0.498946,0.052089,-179.211842,0.199015,0.051633,179.762383,-2.7209930917016694,-0.1701627097988102,-174.47708866024576,-3.0205052078423154,-0.19973487513575164,-174.22296976462812,real
2026-04-30T16:15:25.101112,run_real_027,0.497552,0.051482,-178.675372,0.195381,0.047398,-179.119416,-3.0213880724635493,-0.1998075811955727,-174.71487998865246,-3.322665835791094,-0.22874486802513733,-174.27563564577082,real
2026-04-30T16:16:33.948349,run_real_028,0.50038,0.051358,-179.222115,0.198331,0.048764,-179.684956,-3.323871446971649,-0.2288961505911639,-173.32757294557447,-3.6249870874276144,-0.2645669990842245,-172.96317723071243,real
2026-04-30T16:16:59.582145,run_real_029,0.500289,0.054151,-179.756208,0.200403,0.055355,179.742548,-3.625387748525288,-0.2646308209395403,-172.5466074083279,-3.9233115275535746,-0.3049483605410978,-172.28095232320217,real
2026-04-30T16:19:07.713125,run_real_030,0.498946,0.052089,-179.211842,0.196723,0.053266,-179.698616,-3.924166179125968,-0.3050568066629386,-170.82256520897917,-4.222668200708651,-0.3552318110167938,-170.28291537775104,real
2026-04-30T16:20:27.367429,run_real_031,0.497563,0.051997,-179.734652,0.195274,0.052439,179.752957,-4.2237132506226995,-0.3554250364171347,-169.71471023315038,-4.521905699941441,-0.4104177593131556,-169.19567049774278,real
2026-04-30T16:21:03.584407,run_real_032,0.498214,0.052827,-179.215968,0.198258,0.051103,-179.13906,-4.522580185968128,-0.41052777201194934,-169.82817675073719,-4.818655261879657,-0.4637268015663942,-170.00232608400503,real
2026-04-30T16:21:55.569951,run_real_033,0.497477,0.054204,-179.766153,0.195161,0.05757,179.183743,-4.819177650415928,-0.4638236108188615,-168.26106839285325,-5.1145437096153845,-0.5277679413921851,-167.499007111682,real
2026-04-30T16:22:41.536774,run_real_034,0.498186,0.053572,-179.234491,0.196783,0.051031,-179.697113,-5.115501094693236,-0.5280065311612893,-168.15216785672658,-5.411723994283856,-0.589870048728706,-167.98640941085412,real
2026-04-30T16:23:17.851763,run_real_035,0.497477,0.054181,-179.746646,0.195301,0.050395,-179.135494,-5.412244655893443,-0.5899767252494164,-167.73719629860787,-5.708990763015826,-0.6543660890080117,-167.5220555850362,real
2026-04-30T16:24:36.036153,run_real_036,0.498209,0.053454,-179.752424,0.196039,0.051029,-179.686691,-5.709165299509086,-0.6543992097613124,-166.50958932360854,-6.00373230518893,-0.7252508202467952,-166.40189431587035,real
2026-04-30T16:25:37.922821,run_real_037,0.497592,0.051907,179.723382,0.195215,0.054686,179.741018,-6.004127315433848,-0.7253395619710589,-164.6635155494537,-6.296147701204898,-0.8067093522613076,-164.14823583318423,real
2026-04-30T16:27:11.248119,run_real_038,0.496831,0.052747,-179.748572,0.193725,0.054701,179.746182,-6.296807182010247,-0.8068877897168374,-164.0918901876262,-6.588410418941737,-0.8906621735823705,-163.51789133506207,real
2026-04-30T16:28:01.663730,run_real_039,0.49894,0.052716,-179.748354,0.196723,0.053904,179.755662,-6.588992597272021,-0.8908352552707677,-163.21756450216205,-6.879206669335331,-0.9786923595539866,-163.2505952969882,real
