metric,value,unit
valid_run_count,15,count
tracker_yaw_sign_correction,-1.0,unitless
tracker_corrected_yaw_change_mean,84.57086966666667,deg
tracker_corrected_yaw_change_std,2.3478900133643594,deg
tracker_corrected_yaw_error_mean,-5.429130333333336,deg
tracker_corrected_yaw_error_std,2.3478900133643563,deg
tracker_drift_mu_x,0.00914153333333333,m
tracker_drift_mu_y,-0.0080836,m
tracker_drift_sigma_xx,4.7158726666666653e-07,m^2
tracker_drift_sigma_xy,-4.8384442857140605e-08,m^2
tracker_drift_sigma_yy,1.2466051142857031e-06,m^2
tracker_drift_std_x,0.0006867221175021717,m
tracker_drift_std_y,0.0011165147174514553,m
tracker_local_drift_mu_x,-0.008102058451828091,m
tracker_local_drift_mu_y,-0.009125492389202634,m
tracker_local_drift_sigma_xx,1.2504054141861093e-06,m^2
tracker_local_drift_sigma_xy,4.846209646595641e-08,m^2
tracker_local_drift_sigma_yy,4.616349762771502e-07,m^2
tracker_local_drift_std_x,0.0011182152807872505,m
tracker_local_drift_std_y,0.0006794372496979763,m
tracker_drift_magnitude_mean,0.012236712254068612,m
tracker_drift_magnitude_std,0.0009134354761364436,m
odom_yaw_change_mean,84.17171420393896,deg
odom_yaw_change_std,1.9125486536093366,deg
odom_yaw_error_mean,-5.828285796061042,deg
odom_yaw_error_std,1.9125486536093366,deg
odom_drift_magnitude_mean,0.00030856593527760635,m
odom_drift_magnitude_std,0.00017377122989716776,m
