index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
0,56,33,0.0050000000000003375,-0.014999999999999902,0.0,0.0
1,57,33,0.05500000000000016,-0.014999999999999902,0.05,0.05
2,58,33,0.10500000000000043,-0.014999999999999902,0.05,0.1
3,59,33,0.15500000000000025,-0.014999999999999902,0.05,0.15000000000000002
4,60,33,0.20500000000000052,-0.014999999999999902,0.05,0.2
5,61,33,0.25500000000000034,-0.014999999999999902,0.05,0.25
6,62,33,0.30500000000000016,-0.014999999999999902,0.05,0.3
7,63,33,0.3550000000000004,-0.014999999999999902,0.05,0.35
8,64,33,0.40500000000000025,-0.014999999999999902,0.05,0.39999999999999997
9,65,33,0.4550000000000005,-0.014999999999999902,0.05,0.44999999999999996
10,66,33,0.5050000000000003,-0.014999999999999902,0.05,0.49999999999999994
11,67,33,0.5550000000000002,-0.014999999999999902,0.05,0.5499999999999999
12,68,34,0.6050000000000004,0.03500000000000014,0.07071067811865477,0.6207106781186547
13,69,35,0.6550000000000002,0.08500000000000019,0.07071067811865477,0.6914213562373094
14,70,36,0.7050000000000005,0.13500000000000023,0.07071067811865477,0.7621320343559641
15,71,37,0.7550000000000003,0.18500000000000005,0.07071067811865477,0.8328427124746188
16,72,38,0.8050000000000002,0.2350000000000001,0.07071067811865477,0.9035533905932736
17,73,39,0.8550000000000004,0.28500000000000014,0.07071067811865477,0.9742640687119283
18,74,39,0.9050000000000002,0.28500000000000014,0.05,1.0242640687119282
19,75,39,0.9550000000000005,0.28500000000000014,0.05,1.0742640687119283
20,76,39,1.0050000000000003,0.28500000000000014,0.05,1.1242640687119283
