index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
0,31,45,-1.245,0.565,0.0,0.0
1,31,44,-1.2222727272727274,0.5549999999999999,0.024830000515904827,0.024830000515904827
2,32,44,-1.1995454545454547,0.5449999999999999,0.024830000515904827,0.049660001031809654
3,32,44,-1.176818181818182,0.5349999999999999,0.024830000515904827,0.07449000154771449
4,33,44,-1.1540909090909093,0.5249999999999999,0.024830000515904827,0.09932000206361931
5,33,44,-1.1313636363636363,0.5149999999999999,0.024830000515905032,0.12415000257952434
6,34,43,-1.1086363636363639,0.505,0.024830000515904577,0.14898000309542891
7,34,43,-1.085909090909091,0.495,0.024830000515905032,0.17381000361133395
8,35,43,-1.0631818181818182,0.485,0.024830000515904827,0.19864000412723878
9,35,43,-1.0404545454545455,0.475,0.024830000515904827,0.22347000464314362
10,36,43,-1.0177272727272728,0.46499999999999997,0.024830000515904827,0.24830000515904846
11,36,42,-0.9950000000000001,0.45499999999999996,0.024830000515904827,0.27313000567495327
12,36,42,-0.9722727272727274,0.44499999999999995,0.024830000515904827,0.2979600061908581
13,37,42,-0.9495454545454547,0.43499999999999994,0.024830000515904827,0.32279000670676294
14,37,42,-0.926818181818182,0.425,0.024830000515904803,0.3476200072226677
15,38,42,-0.9040909090909093,0.415,0.024830000515904827,0.37245000773857256
16,38,41,-0.8813636363636365,0.40499999999999997,0.024830000515904928,0.3972800082544775
17,39,41,-0.8586363636363638,0.39499999999999996,0.024830000515904827,0.42211000877038235
18,39,41,-0.835909090909091,0.385,0.024830000515904803,0.44694000928628713
19,40,41,-0.8131818181818182,0.375,0.024830000515904928,0.4717700098021921
20,40,41,-0.7904545454545455,0.365,0.024830000515904827,0.4966000103180969
21,41,40,-0.7677272727272728,0.355,0.024830000515904827,0.5214300108340018
22,41,40,-0.7450000000000001,0.345,0.024830000515904827,0.5462600113499065
23,41,40,-0.7222727272727274,0.33499999999999996,0.024830000515904827,0.5710900118658113
24,42,40,-0.6995454545454547,0.32499999999999996,0.024830000515904827,0.5959200123817161
25,42,40,-0.676818181818182,0.31499999999999995,0.024830000515904827,0.6207500128976209
26,43,39,-0.6540909090909092,0.305,0.024830000515904907,0.6455800134135258
27,43,39,-0.6313636363636365,0.295,0.024830000515904827,0.6704100139294306
28,44,39,-0.6086363636363639,0.28500000000000003,0.024830000515904702,0.6952400144453352
29,44,39,-0.585909090909091,0.275,0.024830000515904928,0.7200700149612401
30,45,39,-0.5631818181818183,0.265,0.024830000515904827,0.7449000154771449
31,45,38,-0.5404545454545456,0.255,0.024830000515904827,0.7697300159930497
32,46,38,-0.5177272727272728,0.245,0.024830000515904928,0.7945600165089546
33,46,38,-0.4950000000000001,0.235,0.024830000515904827,0.8193900170248594
