index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
0,56,33,0.0050000000000003375,-0.014999999999999902,0.0,0.0
1,57,33,0.05500000000000016,-0.014999999999999902,0.05,0.05
2,58,33,0.10500000000000043,-0.014999999999999902,0.05,0.1
3,59,33,0.15500000000000025,-0.014999999999999902,0.05,0.15000000000000002
4,60,33,0.20500000000000052,-0.014999999999999902,0.05,0.2
5,61,33,0.25500000000000034,-0.014999999999999902,0.05,0.25
6,62,33,0.30500000000000016,-0.014999999999999902,0.05,0.3
7,63,33,0.3550000000000004,-0.014999999999999902,0.05,0.35
8,64,33,0.40500000000000025,-0.014999999999999902,0.05,0.39999999999999997
9,65,33,0.4550000000000005,-0.014999999999999902,0.05,0.44999999999999996
10,66,33,0.5050000000000003,-0.014999999999999902,0.05,0.49999999999999994
11,67,33,0.5550000000000002,-0.014999999999999902,0.05,0.5499999999999999
12,68,34,0.6050000000000004,0.03500000000000014,0.07071067811865477,0.6207106781186547
13,69,35,0.6550000000000002,0.08500000000000019,0.07071067811865477,0.6914213562373094
14,70,36,0.7050000000000005,0.13500000000000023,0.07071067811865477,0.7621320343559641
15,71,37,0.7550000000000003,0.18500000000000005,0.07071067811865477,0.8328427124746188
16,72,38,0.8050000000000002,0.2350000000000001,0.07071067811865477,0.9035533905932736
17,73,39,0.8550000000000004,0.28500000000000014,0.07071067811865477,0.9742640687119283
18,74,39,0.9050000000000002,0.28500000000000014,0.05,1.0242640687119282
19,75,39,0.9550000000000005,0.28500000000000014,0.05,1.0742640687119283
20,76,39,1.0050000000000003,0.28500000000000014,0.05,1.1242640687119283
21,77,40,1.0550000000000002,0.33499999999999996,0.07071067811865477,1.1949747468305831
22,78,41,1.1050000000000004,0.38500000000000023,0.07071067811865477,1.265685424949238
23,79,42,1.1550000000000002,0.43500000000000005,0.07071067811865477,1.3363961030678928
24,80,43,1.2050000000000005,0.4850000000000003,0.07071067811865477,1.4071067811865476
25,81,44,1.2550000000000003,0.5350000000000001,0.07071067811865477,1.4778174593052025
26,82,45,1.3050000000000002,0.585,0.07071067811865477,1.5485281374238573
27,83,46,1.355,0.6350000000000002,0.07071067811865477,1.6192388155425121
28,84,47,1.4050000000000007,0.685,0.07071067811865477,1.689949493661167
29,85,48,1.4550000000000005,0.7350000000000003,0.07071067811865477,1.7606601717798218
30,86,49,1.5050000000000003,0.7850000000000001,0.07071067811865477,1.8313708498984766
31,85,49,1.4550000000000005,0.7850000000000001,0.05,1.8813708498984767
32,84,49,1.4050000000000007,0.7850000000000001,0.05,1.9313708498984767
33,83,49,1.355,0.7850000000000001,0.05,1.9813708498984768
34,82,49,1.3050000000000002,0.7850000000000001,0.05,2.031370849898477
35,81,49,1.2550000000000003,0.7850000000000001,0.05,2.0813708498984766
36,80,49,1.2050000000000005,0.7850000000000001,0.05,2.1313708498984765
37,79,49,1.1550000000000002,0.7850000000000001,0.05,2.1813708498984763
38,78,49,1.1050000000000004,0.7850000000000001,0.05,2.231370849898476
39,77,49,1.0550000000000002,0.7850000000000001,0.05,2.281370849898476
40,76,49,1.0050000000000003,0.7850000000000001,0.05,2.3313708498984758
41,75,49,0.9550000000000005,0.7850000000000001,0.05,2.3813708498984756
42,74,49,0.9050000000000002,0.7850000000000001,0.05,2.4313708498984754
43,73,49,0.8550000000000004,0.7850000000000001,0.05,2.4813708498984752
44,72,49,0.8050000000000002,0.7850000000000001,0.05,2.531370849898475
45,71,49,0.7550000000000003,0.7850000000000001,0.05,2.581370849898475
46,70,49,0.7050000000000005,0.7850000000000001,0.05,2.6313708498984747
47,69,49,0.6550000000000002,0.7850000000000001,0.05,2.6813708498984745
48,68,49,0.6050000000000004,0.7850000000000001,0.05,2.7313708498984743
49,67,49,0.5550000000000002,0.7850000000000001,0.05,2.781370849898474
50,66,49,0.5050000000000003,0.7850000000000001,0.05,2.831370849898474
51,65,49,0.4550000000000005,0.7850000000000001,0.05,2.881370849898474
52,64,49,0.40500000000000025,0.7850000000000001,0.05,2.9313708498984736
53,63,49,0.3550000000000004,0.7850000000000001,0.05,2.9813708498984735
54,62,49,0.30500000000000016,0.7850000000000001,0.05,3.0313708498984733
55,61,49,0.25500000000000034,0.7850000000000001,0.05,3.081370849898473
56,60,49,0.20500000000000052,0.7850000000000001,0.05,3.131370849898473
57,59,49,0.15500000000000025,0.7850000000000001,0.05,3.1813708498984727
58,58,49,0.10500000000000043,0.7850000000000001,0.05,3.2313708498984726
59,57,49,0.05500000000000016,0.7850000000000001,0.05,3.2813708498984724
60,56,49,0.0050000000000003375,0.7850000000000001,0.05,3.331370849898472
