index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
0,31,45,-1.245,0.565,0.0,0.0
1,56,34,0.005,0.015,1.3656500283747663,1.3656500283747663
2,84,22,1.405,-0.585,1.5231546211727818,2.888804649547548
