leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
0,0,56,33,0.0050000000000003375,-0.014999999999999902,0.0,0.0
0,1,55,32,-0.044999999999999485,-0.06499999999999995,0.07071067811865477,0.07071067811865477
0,2,54,31,-0.09499999999999975,-0.11499999999999977,0.07071067811865477,0.14142135623730953
0,3,53,30,-0.14499999999999957,-0.1649999999999998,0.07071067811865477,0.21213203435596428
0,4,53,29,-0.14499999999999957,-0.21499999999999986,0.05,0.26213203435596427
1,0,53,29,-0.14499999999999957,-0.21499999999999986,0.0,0.0
1,1,54,30,-0.09499999999999975,-0.1649999999999998,0.07071067811865477,0.07071067811865477
1,2,55,31,-0.044999999999999485,-0.11499999999999977,0.07071067811865477,0.14142135623730953
1,3,55,32,-0.044999999999999485,-0.06499999999999995,0.05,0.19142135623730955
1,4,55,33,-0.044999999999999485,-0.014999999999999902,0.05,0.24142135623730954
1,5,55,34,-0.044999999999999485,0.03500000000000014,0.05,0.2914213562373095
1,6,55,35,-0.044999999999999485,0.08500000000000019,0.05,0.3414213562373095
1,7,55,36,-0.044999999999999485,0.13500000000000023,0.05,0.3914213562373095
1,8,55,37,-0.044999999999999485,0.18500000000000005,0.05,0.4414213562373095
1,9,56,38,0.0050000000000003375,0.2350000000000001,0.07071067811865477,0.5121320343559642
1,10,57,39,0.05500000000000016,0.28500000000000014,0.07071067811865477,0.5828427124746189
1,11,58,40,0.10500000000000043,0.33499999999999996,0.07071067811865477,0.6535533905932737
1,12,59,41,0.15500000000000025,0.38500000000000023,0.07071067811865477,0.7242640687119284
1,13,60,42,0.20500000000000052,0.43500000000000005,0.07071067811865477,0.7949747468305831
1,14,60,43,0.20500000000000052,0.4850000000000003,0.05,0.8449747468305832
1,15,61,44,0.25500000000000034,0.5350000000000001,0.07071067811865477,0.9156854249492379
2,0,61,44,0.25500000000000034,0.5350000000000001,0.0,0.0
2,1,62,43,0.30500000000000016,0.4850000000000003,0.07071067811865477,0.07071067811865477
2,2,63,42,0.3550000000000004,0.43500000000000005,0.07071067811865477,0.14142135623730953
2,3,63,41,0.3550000000000004,0.38500000000000023,0.05,0.19142135623730955
2,4,64,40,0.40500000000000025,0.33499999999999996,0.07071067811865477,0.2621320343559643
2,5,65,40,0.4550000000000005,0.33499999999999996,0.05,0.3121320343559643
2,6,66,39,0.5050000000000003,0.28500000000000014,0.07071067811865477,0.3828427124746191
2,7,67,39,0.5550000000000002,0.28500000000000014,0.05,0.4328427124746191
2,8,68,39,0.6050000000000004,0.28500000000000014,0.05,0.4828427124746191
2,9,69,39,0.6550000000000002,0.28500000000000014,0.05,0.5328427124746191
2,10,70,39,0.7050000000000005,0.28500000000000014,0.05,0.5828427124746192
2,11,71,39,0.7550000000000003,0.28500000000000014,0.05,0.6328427124746192
2,12,72,39,0.8050000000000002,0.28500000000000014,0.05,0.6828427124746193
2,13,73,39,0.8550000000000004,0.28500000000000014,0.05,0.7328427124746193
2,14,74,39,0.9050000000000002,0.28500000000000014,0.05,0.7828427124746193
2,15,75,39,0.9550000000000005,0.28500000000000014,0.05,0.8328427124746194
2,16,76,39,1.0050000000000003,0.28500000000000014,0.05,0.8828427124746194
2,17,77,40,1.0550000000000002,0.33499999999999996,0.07071067811865477,0.9535533905932742
2,18,78,40,1.1050000000000004,0.33499999999999996,0.05,1.003553390593274
2,19,79,40,1.1550000000000002,0.33499999999999996,0.05,1.0535533905932741
3,0,79,40,1.1550000000000002,0.33499999999999996,0.0,0.0
3,1,80,41,1.2050000000000005,0.38500000000000023,0.07071067811865477,0.07071067811865477
3,2,81,42,1.2550000000000003,0.43500000000000005,0.07071067811865477,0.14142135623730953
3,3,81,43,1.2550000000000003,0.4850000000000003,0.05,0.19142135623730955
3,4,82,44,1.3050000000000002,0.5350000000000001,0.07071067811865477,0.2621320343559643
