leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
0,0,56,33,0.0050000000000003375,-0.014999999999999902,0.0,0.0
0,1,57,34,0.05500000000000016,0.03500000000000014,0.07071067811865477,0.07071067811865477
0,2,58,35,0.10500000000000043,0.08500000000000019,0.07071067811865477,0.14142135623730953
0,3,59,36,0.15500000000000025,0.13500000000000023,0.07071067811865477,0.21213203435596428
0,4,59,37,0.15500000000000025,0.18500000000000005,0.05,0.26213203435596427
0,5,59,38,0.15500000000000025,0.2350000000000001,0.05,0.31213203435596426
0,6,59,39,0.15500000000000025,0.28500000000000014,0.05,0.36213203435596425
0,7,59,40,0.15500000000000025,0.33499999999999996,0.05,0.41213203435596424
0,8,59,41,0.15500000000000025,0.38500000000000023,0.05,0.4621320343559642
0,9,59,42,0.15500000000000025,0.43500000000000005,0.05,0.5121320343559642
0,10,60,43,0.20500000000000052,0.4850000000000003,0.07071067811865477,0.5828427124746189
0,11,61,44,0.25500000000000034,0.5350000000000001,0.07071067811865477,0.6535533905932737
