leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
0,0,56,33,0.0050000000000003375,-0.014999999999999902,0.0,0.0
0,1,55,32,-0.044999999999999485,-0.06499999999999995,0.07071067811865477,0.07071067811865477
0,2,54,31,-0.09499999999999975,-0.11499999999999977,0.07071067811865477,0.14142135623730953
0,3,53,30,-0.14499999999999957,-0.1649999999999998,0.07071067811865477,0.21213203435596428
0,4,52,29,-0.19499999999999984,-0.21499999999999986,0.07071067811865477,0.28284271247461906
0,5,52,28,-0.19499999999999984,-0.2649999999999999,0.05,0.33284271247461905
