leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
0,0,56,33,0.0050000000000003375,-0.014999999999999902,0.0,0.0
0,1,55,32,-0.044999999999999485,-0.06499999999999995,0.07071067811865477,0.07071067811865477
0,2,54,31,-0.09499999999999975,-0.11499999999999977,0.07071067811865477,0.14142135623730953
0,3,53,30,-0.14499999999999957,-0.1649999999999998,0.07071067811865477,0.21213203435596428
0,4,53,29,-0.14499999999999957,-0.21499999999999986,0.05,0.26213203435596427
0,5,53,28,-0.14499999999999957,-0.2649999999999999,0.05,0.31213203435596426
0,6,53,27,-0.14499999999999957,-0.31499999999999995,0.05,0.36213203435596425
0,7,53,26,-0.14499999999999957,-0.36499999999999977,0.05,0.41213203435596424
0,8,53,25,-0.14499999999999957,-0.4149999999999998,0.05,0.4621320343559642
0,9,53,24,-0.14499999999999957,-0.46499999999999986,0.05,0.5121320343559642
0,10,52,23,-0.19499999999999984,-0.5149999999999999,0.07071067811865477,0.5828427124746189
0,11,52,22,-0.19499999999999984,-0.565,0.05,0.632842712474619
0,12,51,21,-0.24499999999999966,-0.615,0.07071067811865477,0.7035533905932737
0,13,50,21,-0.2949999999999995,-0.615,0.05,0.7535533905932738
0,14,49,20,-0.34499999999999975,-0.6649999999999998,0.07071067811865477,0.8242640687119285
0,15,48,20,-0.3949999999999996,-0.6649999999999998,0.05,0.8742640687119285
0,16,47,20,-0.44499999999999984,-0.6649999999999998,0.05,0.9242640687119286
0,17,46,21,-0.49499999999999966,-0.615,0.07071067811865477,0.9949747468305833
0,18,45,21,-0.5449999999999999,-0.615,0.05,1.0449747468305832
0,19,44,21,-0.5949999999999998,-0.615,0.05,1.0949747468305833
1,0,44,21,-0.5949999999999998,-0.615,0.0,0.0
1,1,44,22,-0.5949999999999998,-0.565,0.05,0.05
1,2,44,23,-0.5949999999999998,-0.5149999999999999,0.05,0.1
1,3,43,24,-0.6449999999999996,-0.46499999999999986,0.07071067811865477,0.17071067811865476
1,4,43,25,-0.6449999999999996,-0.4149999999999998,0.05,0.22071067811865475
1,5,43,26,-0.6449999999999996,-0.36499999999999977,0.05,0.27071067811865474
1,6,42,27,-0.6949999999999998,-0.31499999999999995,0.07071067811865477,0.3414213562373095
1,7,42,28,-0.6949999999999998,-0.2649999999999999,0.05,0.3914213562373095
1,8,42,29,-0.6949999999999998,-0.21499999999999986,0.05,0.4414213562373095
1,9,42,30,-0.6949999999999998,-0.1649999999999998,0.05,0.4914213562373095
1,10,42,31,-0.6949999999999998,-0.11499999999999977,0.05,0.5414213562373095
1,11,41,32,-0.7449999999999997,-0.06499999999999995,0.07071067811865477,0.6121320343559642
1,12,40,33,-0.7949999999999999,-0.014999999999999902,0.07071067811865477,0.6828427124746189
1,13,39,34,-0.8449999999999998,0.03500000000000014,0.07071067811865477,0.7535533905932736
1,14,39,35,-0.8449999999999998,0.08500000000000019,0.05,0.8035533905932737
1,15,38,36,-0.8949999999999998,0.13500000000000023,0.07071067811865477,0.8742640687119284
1,16,38,37,-0.8949999999999998,0.18500000000000005,0.05,0.9242640687119285
1,17,37,38,-0.9449999999999998,0.2350000000000001,0.07071067811865477,0.9949747468305832
1,18,37,39,-0.9449999999999998,0.28500000000000014,0.05,1.0449747468305832
2,0,37,39,-0.9449999999999998,0.28500000000000014,0.0,0.0
2,1,38,40,-0.8949999999999998,0.33499999999999996,0.07071067811865477,0.07071067811865477
2,2,39,41,-0.8449999999999998,0.38500000000000023,0.07071067811865477,0.14142135623730953
2,3,40,42,-0.7949999999999999,0.43500000000000005,0.07071067811865477,0.21213203435596428
2,4,41,42,-0.7449999999999997,0.43500000000000005,0.05,0.26213203435596427
2,5,42,42,-0.6949999999999998,0.43500000000000005,0.05,0.31213203435596426
2,6,43,42,-0.6449999999999996,0.43500000000000005,0.05,0.36213203435596425
