leg_index,point_index,grid_x,grid_y,world_x_m,world_y_m,segment_length_m,cumulative_length_m
0,0,42,42,-0.6949999999999998,0.43500000000000005,0.0,0.0
0,1,43,41,-0.6449999999999996,0.38500000000000023,0.07071067811865477,0.07071067811865477
0,2,44,40,-0.5949999999999998,0.33499999999999996,0.07071067811865477,0.14142135623730953
0,3,45,39,-0.5449999999999999,0.28500000000000014,0.07071067811865477,0.21213203435596428
0,4,46,38,-0.49499999999999966,0.2350000000000001,0.07071067811865477,0.28284271247461906
0,5,46,37,-0.49499999999999966,0.18500000000000005,0.05,0.33284271247461905
0,6,46,36,-0.49499999999999966,0.13500000000000023,0.05,0.38284271247461904
0,7,46,35,-0.49499999999999966,0.08500000000000019,0.05,0.43284271247461903
0,8,47,34,-0.44499999999999984,0.03500000000000014,0.07071067811865477,0.5035533905932738
0,9,48,33,-0.3949999999999996,-0.014999999999999902,0.07071067811865477,0.5742640687119285
0,10,49,32,-0.34499999999999975,-0.06499999999999995,0.07071067811865477,0.6449747468305832
0,11,50,31,-0.2949999999999995,-0.11499999999999977,0.07071067811865477,0.7156854249492379
0,12,50,30,-0.2949999999999995,-0.1649999999999998,0.05,0.765685424949238
0,13,51,29,-0.24499999999999966,-0.21499999999999986,0.07071067811865477,0.8363961030678927
1,0,51,29,-0.24499999999999966,-0.21499999999999986,0.0,0.0
1,1,52,30,-0.19499999999999984,-0.1649999999999998,0.07071067811865477,0.07071067811865477
1,2,53,31,-0.14499999999999957,-0.11499999999999977,0.07071067811865477,0.14142135623730953
1,3,54,32,-0.09499999999999975,-0.06499999999999995,0.07071067811865477,0.21213203435596428
1,4,54,33,-0.09499999999999975,-0.014999999999999902,0.05,0.26213203435596427
1,5,54,34,-0.09499999999999975,0.03500000000000014,0.05,0.31213203435596426
1,6,54,35,-0.09499999999999975,0.08500000000000019,0.05,0.36213203435596425
1,7,54,36,-0.09499999999999975,0.13500000000000023,0.05,0.41213203435596424
1,8,54,37,-0.09499999999999975,0.18500000000000005,0.05,0.4621320343559642
1,9,54,38,-0.09499999999999975,0.2350000000000001,0.05,0.5121320343559642
1,10,55,39,-0.044999999999999485,0.28500000000000014,0.07071067811865477,0.5828427124746189
1,11,56,40,0.0050000000000003375,0.33499999999999996,0.07071067811865477,0.6535533905932737
1,12,57,41,0.05500000000000016,0.38500000000000023,0.07071067811865477,0.7242640687119284
1,13,58,42,0.10500000000000043,0.43500000000000005,0.07071067811865477,0.7949747468305831
